id,BSC_NAME,ROUTER_NAME,WAN_NAME,NW_NAME,VOX_IDs,count,LINK_IDs,WAN_LINK_ID,CIR_NAME
,GNTBSC103,"APGNTBLTPAR01NIXRB,APGNTBLTPAR02NIXRB","WAP_060002_102154_1,WAP_102154_102029_1,WAP_102154_102154_1,WAP_102168_102154_1,WAP_108777_102154_1,WAP_108779_102154_1,WAP_108779_102154_2,WAP_402193_102154_1,WAP_402193_102154_2",Dark Fiber,"APWDFA2440,APWDFA2441,APWDFA2442,APWDFA2443,NO_VOXID",5,"APWDFA2440-MAIN,APWDFA2441-MAIN,APWDFA2442-MAIN,APWDFA2443-MAIN","WAP_060002_102154_1,WAP_102154_102029_1,WAP_102154_102154_1,WAP_102168_102154_1,WAP_108777_102154_1,WAP_108779_102154_1,WAP_108779_102154_2,WAP_402193_102154_1,WAP_402193_102154_2",APR
,IDEA_BSC77,"APHYDADIPAR01HNE40,APHYDEMEPAR01NIXR2,APHYDEMEPAR02NIXR2,APHYDKHGPAR01NIXR2,APHYDNCTACR01HA910,APHYDRPRACR01HA910,APHYDWSCACR01CN540","WAP_070051_103281_1,WAP_103281_103281_1,WAP_103321_103281_1,WAP_107114_103281_1,WAP_107538_103281_1,WAP_108923_103281_1,WAP_108961_103281_1,WAP_109080_103281_1,WAP_109377_103281_1,WAP_110719_103281_1,WAP_403301_103281_1",Dark Fiber,"APWBBA2074,APWDFA2073,APWDFA2075,APWDFA2076,APWDFA2077,APWDFA2078,APWDFA2079,APWDFA2081,APWDFA2082,APWDFA2083,APWDFA2301",11,"APWBBA2074-MAIN,APWDFA2073-MAIN,APWDFA2075-MAIN,APWDFA2076-MAIN,APWDFA2077-MAIN,APWDFA2078-MAIN,APWDFA2079-MAIN,APWDFA2081-MAIN,APWDFA2082-MAIN,APWDFA2083-MAIN,APWDFA2301-MAIN","WAP_070051_103281_1,WAP_103281_103281_1,WAP_103321_103281_1,WAP_107114_103281_1,WAP_107538_103281_1,WAP_108923_103281_1,WAP_108961_103281_1,WAP_109080_103281_1,WAP_109377_103281_1,WAP_110719_103281_1,WAP_403301_103281_1",APR
,IDEA_BSC78,"APGDVANVPAR01CA903,APSRKCLPPAR01NSRA4,APSRKRJMPAR01NSRA4,APSRKSRKPAR01HNE40,APVSPVZGAGR01HNE40,APVSPVZGAGR02HNE40,APVZMCNTPAR01NIXRB","NO_WANID,WAP_104346_100456_1,WAP_104346_101479_1,WAP_104346_101852_1,WAP_104346_102049_1,WAP_104346_103036_1,WAP_104346_103244_1,WAP_104346_103885_1,WAP_104346_104089_1,WAP_104346_104098_1,WAP_104346_104144_1,WAP_104346_104346_1,WAP_104358_104346_1,WAP_104410_104346_1,WAP_108364_104346_1,WAP_109144_104346_1,WAP_109422_104346_1,WAP_109447_104346_1,WAP_200001_104346_1,WAP_200023_104346_1,WAP_200368_104346_1,WAP_402193_104346_1,WAP_403599_104346_1,WAP_404209_104346_1",Tejas,"APWDFH0970,APWDFH1409,APWDFH1410,APWDFH1451,APWDFH1453,APWDFH1455,APWDFH1456,APWDFH1457,APWHOC0870,APWHOC2087,APWHOH0604,APWHOH0606,APWHOH0662,APWHUC0843,APWHUC1992,APWHUH0268,APWTPA2230,APWTPH2277,NO_VOXID",19,"APWDFH0970-MAIN,APWDFH1409-MAIN,APWDFH1410-MAIN,APWDFH1451-MAIN,APWDFH1453-MAIN,APWDFH1455-MAIN,APWDFH1456-MAIN,APWDFH1457-MAIN,APWHOC2087-MAIN,APWHOC2087-PROTECTED,APWHOH0604-MAIN,APWHOH0662-MAIN,APWHOH0662-PROTECTED,APWHUC0843-MAIN,APWHUC0843-PROTECTED,APWHUC1992-MAIN,APWHUH0268-MAIN,APWTPH2277-MAIN,APWTPH2277-PROTECTED","NO_WANID,WAP_104346_100456_1,WAP_104346_101479_1,WAP_104346_101852_1,WAP_104346_102049_1,WAP_104346_103036_1,WAP_104346_103244_1,WAP_104346_103885_1,WAP_104346_104089_1,WAP_104346_104098_1,WAP_104346_104144_1,WAP_104346_104346_1,WAP_104358_104346_1,WAP_104410_104346_1,WAP_108364_104346_1,WAP_109144_104346_1,WAP_109422_104346_1,WAP_109447_104346_1,WAP_200001_104346_1,WAP_200023_104346_1,WAP_200368_104346_1,WAP_402193_104346_1,WAP_403599_104346_1,WAP_404209_104346_1",APR
,IDEA_BSC79,"APKRMHZBPAR01CA903,APWRGKZPPAR01NIXRB,APWRGMLPPAR01NSRA4,APWRGPCMAGR01C9006,APWRGPCMAGR02C9006,APWRGPRKPAR01NIXRC","WAP_102960_100411_1,WAP_102960_102842_1,WAP_102960_102842_2,WAP_102960_102960_1,WAP_103008_102960_1,WAP_103472_102960_1,WAP_103703_102960_1,WAP_103718_102960_1,WAP_105995_102960_1,WAP_105995_102960_2,WAP_106939_102960_1,WAP_107312_102960_1,WAP_108773_102960_1,WAP_109115_102960_1",Dark Fiber,"APWBBC0746_APWBBC0747,APWDFC1653,APWDFC1656,APWDFC1657,APWDFC1658,APWDFH1975,APWHUC1652,APWHUC1668,APWHUC1671,NO_VOXID",10,"APWBBC0746_APWBBC0747-MAIN,APWDFC1653-MAIN,APWDFC1656-MAIN,APWDFC1657-MAIN,APWDFC1658-MAIN,APWDFH1975-MAIN,APWHUC1652-MAIN,APWHUC1652-PROTECTED,APWHUC1668-MAIN,APWHUC1668-PROTECTED","WAP_102960_100411_1,WAP_102960_102842_1,WAP_102960_102842_2,WAP_102960_102960_1,WAP_103008_102960_1,WAP_103472_102960_1,WAP_103703_102960_1,WAP_103718_102960_1,WAP_105995_102960_1,WAP_105995_102960_2,WAP_106939_102960_1,WAP_107312_102960_1,WAP_108773_102960_1,WAP_109115_102960_1",APR
,IDEA_BSC80,"APCHTCHTPAR01NIXRB,APCHTPLRPAR01CA903,APKDPKDPPAR01NIXRB,APTPIPLVACR01NIXRB,APTPIRNIACR01NIXRB,APTPISAAPAR02C5500,APTPISNDACR01CN540,APTPITPTAGR01HNE40,APTPITPTAGR01NSR01,APTPITPTAGR02HNE40,APTPITPTAGR02NSR01,APTPITR3ACR01NIXRB,APTPITRMACR01NIXRB","WAP_402913_030014_1,WAP_402913_030014_2,WAP_402913_100403_1,WAP_402913_100403_2,WAP_402913_100599_1,WAP_402913_100599_2,WAP_402913_100712_1,WAP_402913_100712_2,WAP_402913_101027_1,WAP_402913_101027_2,WAP_402913_101242_1,WAP_402913_101242_2,WAP_402913_101485_1,WAP_402913_101485_2,WAP_402913_102214_1,WAP_402913_102214_2,WAP_402913_103244_1,WAP_402913_103244_2,WAP_402913_104106_1,WAP_402913_104716_1,WAP_402913_104716_4,WAP_402913_106893_1,WAP_402913_106893_2,WAP_402913_108474_1,WAP_402913_108474_2,WAP_402913_111039_1,WAP_402913_111039_2,WAP_402913_402193_1,WAP_402913_402555_1,WAP_402913_402555_2,WAP_402913_402913_1,WAP_402913_402913_14,WAP_402913_402913_2,WAP_402913_402913_3,WAP_402913_402913_6",Dark Fiber,"APWBBC0795,APWBBH1556,APWBBH1557,APWDFA2457,APWDFC0803,APWDFC0804,APWDFC1875,APWDFC2180,APWDFH0262,APWDFH0651,APWDFH1462,APWDFH1941,APWHOH1782,APWHOH1784,APWHOH1785,APWHUC0849,APWHUH0212,APWHUH0213,NO_VOXID",19,"APWBBC0795-MAIN,APWBBH1556-MAIN,APWBBH1557-MAIN,APWDFA2457-MAIN,APWDFC0803-MAIN,APWDFC0804-MAIN,APWDFC1875-MAIN,APWDFC2180-MAIN,APWDFH0262-MAIN,APWDFH0651-MAIN,APWDFH1462-MAIN,APWDFH1941-MAIN,APWHOH1782-MAIN,APWHOH1784-MAIN,APWHOH1785-MAIN,APWHUC0849-MAIN,APWHUC0849-PROTECTED,APWHUH0212-MAIN,APWHUH0213-MAIN","WAP_402913_030014_1,WAP_402913_030014_2,WAP_402913_100403_1,WAP_402913_100403_2,WAP_402913_100599_1,WAP_402913_100599_2,WAP_402913_100712_1,WAP_402913_100712_2,WAP_402913_101027_1,WAP_402913_101027_2,WAP_402913_101242_1,WAP_402913_101242_2,WAP_402913_101485_1,WAP_402913_101485_2,WAP_402913_102214_1,WAP_402913_102214_2,WAP_402913_103244_1,WAP_402913_103244_2,WAP_402913_104106_1,WAP_402913_104716_1,WAP_402913_104716_4,WAP_402913_106893_1,WAP_402913_106893_2,WAP_402913_108474_1,WAP_402913_108474_2,WAP_402913_111039_1,WAP_402913_111039_2,WAP_402913_402193_1,WAP_402913_402555_1,WAP_402913_402555_2,WAP_402913_402913_1,WAP_402913_402913_14,WAP_402913_402913_2,WAP_402913_402913_3,WAP_402913_402913_6",APR
,IDEA_BSC81,"APKHMNSTPAR01C5500,APKHMTLDPAR01NIXRC","WAP_104560_103244_1,WAP_104560_104560_1,WAP_106146_104560_1,WAP_109108_104560_1",Huawei,"APWBBC0784,APWHUC0876,APWHUH0409,APWTPC2290",4,"APWBBC0784-MAIN,APWHUC0876-MAIN,APWHUC0876-PROTECTED,APWHUH0409-MAIN","WAP_104560_103244_1,WAP_104560_104560_1,WAP_106146_104560_1,WAP_109108_104560_1",APR
,IDEA_BSC82,"APGDVANVPAR01CA903,APGDVBVMPAR01NIXRB,APGDVLALACR01NIXRC,APGDVMALACR01NIXRC,APGDVRCPPAR01NIXRB,APGDVRJMAGR01HNE40,APGDVRJMAGR02HNE40,APKRIVPTPAR01C5500","WAP_102049_101121_1,WAP_102049_101275_1,WAP_102049_101479_1,WAP_102049_101616_1,WAP_102049_102049_1,WAP_103866_102049_1,WAP_402193_102049_1,WAP_402193_102049_3,WAP_403577_102049_1",Dark Fiber,"APWBBH1550,APWBBH1552,APWBBH1553,APWDFA2306,APWDFA2309,APWHOH2086,APWHUC1768,APWHUH1595,APWHUH1596,APWHUH1598,APWHUH1601,APWHUH1603,APWHUH1604,NO_VOXID",14,"APWBBH1550-MAIN,APWBBH1552-MAIN,APWBBH1553-MAIN,APWDFA2306-MAIN,APWDFA2309-MAIN,APWHOH2086-MAIN,APWHOH2086-PROTECTED,APWHUC1768-MAIN","WAP_102049_101121_1,WAP_102049_101275_1,WAP_102049_101479_1,WAP_102049_101616_1,WAP_102049_102049_1,WAP_103866_102049_1,WAP_402193_102049_1,WAP_402193_102049_3,WAP_403577_102049_1",APR
,IDEA_BSC83,"APKRMVDRPAR01NSRA4,APMDKGAJPAR01NSRA4,APMDKSDPPAR02C5500,APMEDRAMPAR01NSRA4","WAP_108773_102223_1,WAP_108773_102584_1,WAP_108773_102960_4,WAP_108773_106020_1,WAP_108773_108773_1",B2B,"APWBBC0516,APWDFA2198,APWHOC0520,APWTPA2290,NO_VOXID",5,"APWBBC0516-MAIN,APWDFA2198-MAIN,APWHOC0520-MAIN","WAP_108773_102223_1,WAP_108773_102584_1,WAP_108773_102960_4,WAP_108773_106020_1,WAP_108773_108773_1",APR
,IDEA_BSC84,"APONGKNRPAR01C5500,APONGTVGPAR02CN540","WAP_170013_060006_1,WAP_170013_108580_1,WAP_170013_170013_1",B2B,"APWBBC0855,APWHUC0856,APWHUC0863",3,"APWBBC0855-MAIN,APWHUC0856-MAIN,APWHUC0856-PROTECTED","WAP_170013_060006_1,WAP_170013_108580_1,WAP_170013_170013_1",APR
,IDEA_BSC85,"APKDPKDPPAR01NIXRB,APPDTMDPPAR01NIXRB","WAP_104592_104106_1,WAP_104716_104592_1",,"APWHUA2451,NO_VOXID",2,,"WAP_104592_104106_1,WAP_104716_104592_1",APR
